name,energy,protein,sugar,fats,fiber,unit_vector,distance
Nutricia Nutridrink Creme vanilka,161.0,10.0,19.0,5.0,0.1,[0.45360921 0.8618575  0.22680461],0.0057249963120142005
Nutridrink Creme s příchutí lesního ovoce,161.0,10.0,19.0,5.0,0.5,[0.45360921 0.8618575  0.22680461],0.0057249963120142005
Nutridrink Crème s příchutí banánovou Nutricia,161.0,10.0,19.0,5.0,0.5,[0.45360921 0.8618575  0.22680461],0.0057249963120142005
Nutridrink Creme čokoláda Nutricia,161.0,10.0,19.0,5.0,0.5,[0.45360921 0.8618575  0.22680461],0.0057249963120142005
Pohodlná dieta Špecle se špenátem a krůtími prsy,127.0,8.0,15.0,4.0,,[0.45807867 0.8588975  0.22903933],0.005795665367913425
Surimi Sticks frozen Ocean Sea,125.0,8.0,15.0,4.0,,[0.45807867 0.8588975  0.22903933],0.005795665367913425
mleté maso s kuskusem krabičková dieta 2,132.0,8.0,15.0,4.0,,[0.45807867 0.8588975  0.22903933],0.005795665367913425
vepřové nudličky ve smetanové omáčce halušky Zdravé stravování,127.0,8.0,15.0,4.0,,[0.45807867 0.8588975  0.22903933],0.005795665367913425
Čočkový salát ze 4 druhů čočky s mrkví a paprikou,121.0,8.0,15.0,4.0,6.0,[0.45807867 0.8588975  0.22903933],0.005795665367913425
Surimi tyčinky Ocean Sea,125.0,8.0,15.0,4.0,,[0.45807867 0.8588975  0.22903933],0.005795665367913425
Oat bakes chocolate chip Myprotein,351.0,24.0,45.0,12.0,3.0,[0.45807867 0.8588975  0.22903933],0.0057956653679134265
kuřecí krémová polévka se žampiony Slimbel,385.0,24.0,45.0,12.0,3.0,[0.45807867 0.8588975  0.22903933],0.0057956653679134265
zapečené těstoviny s tuňákem a zeleninou 1,195.0,12.0,23.0,6.0,,[0.45066946 0.86378313 0.22533473],0.008299141636736491
Jarní kuřecí rizoto Foodbox,194.0,12.0,23.0,6.0,2.0,[0.45066946 0.86378313 0.22533473],0.008299141636736491
mBar citron,398.0,25.0,46.0,12.0,5.0,[0.46544364 0.8564163  0.22341295],0.008435984199013076
Vegan protein bars red fruits Aptonia,401.0,25.0,46.0,12.0,4.0,[0.46544364 0.8564163  0.22341295],0.008435984199013076
svačinová buchta,303.0,19.0,35.0,9.0,,[0.46535652 0.85723569 0.22043203],0.008548768268184239
The 1:1 Diet Cherry Bakewell Flavour Bar Cambridge Weight Plan,365.0,23.0,44.0,11.0,4.0,[0.45228645 0.86524364 0.21631091],0.010346480388446481
celozrnný toast šunka sýr 30% kečup,233.0,14.0,27.0,7.0,4.0,[0.44858894 0.8651358  0.22429447],0.01057667926723597
Hamburger s trhaným hovězím masem a BBQ omáčkou,224.0,14.0,27.0,7.0,,[0.44858894 0.8651358  0.22429447],0.01057667926723597
Fish Nuggets FRoSTA,205.0,13.0,24.0,6.0,,[0.46517657 0.85878752 0.21469688],0.011422659014731445
Bodykey tyčinka tropické ovoce náhrada jídla-nová,374.0,23.0,42.0,11.0,10.0,[0.46812216 0.85483178 0.22388451],0.011554474939775933
Chocolate & Orange Fusion Bar Cambridge,355.0,23.0,42.0,11.0,5.0,[0.46812216 0.85483178 0.22388451],0.011554474939775933
Bún Tôm miska krevetové polévky s rýžovými nudlemi,420.0,27.0,52.0,14.0,4.0,[0.44819838 0.86319688 0.23239916],0.013574622450464905
Huel Nutritionally complete food Mac & Cheeze,380.0,24.0,44.0,11.0,6.0,[0.46771986 0.85748641 0.2143716 ],0.013604977423069495
"ovesné placky ovesné vločky, vejce, vaječný bílek",197.0,12.0,22.0,6.0,2.0,[0.46569032 0.85376558 0.23284516],0.013836726845676639
Chili sin carne Veggie,103.0,6.0,11.0,3.0,4.0,[0.46569032 0.85376558 0.23284516],0.013836726845676639
Tortila Pikant Kuřecí Dorant,198.0,12.0,22.0,6.0,0.0,[0.46569032 0.85376558 0.23284516],0.013836726845676639
gerlinéa repas minceur complet vanille,92.0,6.0,11.0,3.0,2.0,[0.46569032 0.85376558 0.23284516],0.013836726845676639
Labužnický vepřový guláš s noky a zeleninou NORMA,97.0,6.0,11.0,3.0,2.0,[0.46569032 0.85376558 0.23284516],0.013836726845676639
obložená kaiserka s chia Baker,201.0,12.0,22.0,6.0,,[0.46569032 0.85376558 0.23284516],0.013836726845676639
šunkovo vaječný sendvič Costa Coffee,195.0,12.0,22.0,6.0,,[0.46569032 0.85376558 0.23284516],0.013836726845676639
"Segedinský guláš s tempehem, halušky Zdravé stravování",96.0,6.0,11.0,3.0,,[0.46569032 0.85376558 0.23284516],0.013836726845676639
Cambridge Mocha Bar tyčinka kávová s čokoládou,369.0,23.0,44.0,12.0,5.0,[0.45028844 0.86142136 0.2349331 ],0.01388052284308338
domácí tvarohový cheesecake z bebe sušenek a nízkotučného tvarohu,330.0,20.0,39.0,10.0,1.0,[0.44488405 0.8675239  0.22244203],0.014965950606267271
M BAR lemon crisp Pharmanex TR90,400.0,25.0,45.0,12.0,5.0,[0.47296261 0.8513327  0.22702205],0.01785175514227131
sendvič s kuřecím masem Costa,178.0,11.0,21.0,5.0,,[0.45401859 0.86676276 0.20637209],0.018649155452695416
Sendvič kuřecí Lagardere,178.0,11.0,21.0,5.0,,[0.45401859 0.86676276 0.20637209],0.018649155452695416
"Lasagne se špenátem, kuřecím masem, sypané parmazánem",176.0,11.0,21.0,5.0,2.0,[0.45401859 0.86676276 0.20637209],0.018649155452695416
Pizza Capriciosa Grosseto,247.0,16.0,29.0,8.0,,[0.46957382 0.85110254 0.23478691],0.0186794807062506
the 1:1diet strawberry & apple bar,383.0,24.0,43.0,11.0,8.0,[0.47564402 0.85219554 0.21800351],0.020197512602431918
nudle s kuřecím a brokolicí,140.0,9.0,17.0,4.0,,[0.45808794 0.86527722 0.20359464],0.020438335436974372
"moravský vrabec, špenát, bramborový knedlík",138.0,9.0,17.0,4.0,,[0.45808794 0.86527722 0.20359464],0.020438335436974372
zapečené těstoviny se šunkou,148.0,9.0,17.0,4.0,,[0.45808794 0.86527722 0.20359464],0.020438335436974372
Gnocchi s rajčatovou omáčkou a kuřecím,140.0,9.0,17.0,4.0,,[0.45808794 0.86527722 0.20359464],0.020438335436974372
"hovězí kýta na víně, těstoviny",159.0,10.0,18.0,5.0,0.7,[0.47192918 0.84947252 0.23596459],0.021680210865481664
houbová polévka Dr.Staněk,366.0,23.0,41.0,11.0,7.0,[0.47638349 0.84920535 0.22783558],0.021961280246064533
Oat bakes white choc&berry flavour Myprotein,350.0,25.0,45.0,11.0,3.0,[0.47492141 0.85485853 0.20896542],0.02294270818769512
The 1:1 Diet Caramel Bites Cambridge Weight Plan,357.0,23.0,43.0,10.0,6.0,[0.46203746 0.86380916 0.20088585],0.02316588976494129
Cambridge Toffee Flavour Chewy Bar,355.0,22.0,42.0,12.0,4.0,[0.44982345 0.85875386 0.24535825],0.023452154757626582
Chocolate Chewy Bar,357.0,22.0,42.0,12.0,5.0,[0.44982345 0.85875386 0.24535825],0.023452154757626582
Quick&Easy Kuskus se zeleninou Kotányi,232.0,11.0,21.0,6.0,,[0.44982345 0.85875386 0.24535825],0.023452154757626582
Cambridge tyčinka toffee,355.0,22.0,42.0,12.0,4.0,[0.44982345 0.85875386 0.24535825],0.023452154757626582
"Čína s vepřovým masem, jasmínová rýže",135.0,9.0,16.0,4.0,,[0.47902167 0.85159407 0.21289852],0.025105986624521744
Kuskusové rizoto s kuřecím masem sypané sýrem Apetit,134.0,9.0,16.0,4.0,,[0.47902167 0.85159407 0.21289852],0.025105986624521744
Cambridge proteinová tyčinka,327.0,21.0,42.0,11.0,6.0,[0.43542608 0.87085216 0.22808033],0.025311834065424553
"Těstoviny s mletým masem a cibulkou, dušené červené zelí Zdravé stravování",107.0,7.0,13.0,3.0,,[0.46460632 0.86284031 0.19911699],0.025322367818696557
rizoto kuřecí se špenátem,111.0,7.0,13.0,3.0,0.7,[0.46460632 0.86284031 0.19911699],0.025322367818696557
salát s černou čočkou a sýrem,108.0,7.0,13.0,3.0,,[0.46460632 0.86284031 0.19911699],0.025322367818696557
noodles and chicken Frosta,111.0,7.0,13.0,3.0,0.0,[0.46460632 0.86284031 0.19911699],0.025322367818696557
"Pohanka zapečená s houbami, šunkou a sýrem",107.0,7.0,13.0,3.0,,[0.46460632 0.86284031 0.19911699],0.025322367818696557
BIO Aloe Vera - Allnature,2.0,0.07,0.13,0.03,,[0.46460632 0.86284031 0.19911699],0.025322367818696585
Bio Aloe Vera 100% šťáva Wolfberry,2.0,0.07,0.13,0.03,0.1,[0.46460632 0.86284031 0.19911699],0.025322367818696585
Jogurt z jižních Čech jahoda Agrola,96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Cari de Lentilles & Pois chiches D'aucy,101.0,6.0,12.0,3.0,4.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
jogurt ve skle ovocný Agrola,96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
míchaný listový salát v italském stylu M&S,22.0,1.0,2.0,0.5,1.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
jogurt borůvka Agrola,96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
"Jihočeský jogurt tradiční ostružina malina 2,5% Madeta",96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Peach Soy Product Alpro,70.0,4.0,8.0,2.0,0.9,[0.43643578 0.87287156 0.21821789],0.02545942480600966
hovězí vývar s játrovou rýží Expres Menu,62.0,4.0,8.0,2.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
boršč polévka,35.0,2.0,4.0,1.0,0.3,[0.43643578 0.87287156 0.21821789],0.02545942480600966
jogurt agrola ananas,96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
tvarohové knedlíky,269.0,16.0,32.0,8.0,0.79,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Zde žije jogurt z jižních Čech borůvkový Agro-la,96.0,6.0,12.0,3.0,0.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
buchta tvarohová,167.0,10.0,20.0,5.0,1.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Fazolová polévka s klobásou Švéda,67.0,4.0,8.0,2.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Santee Selection čaj ovocný 6 druhů,12.0,0.2,0.4,0.1,0.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Alpro Natural Vanilla,67.0,4.0,8.0,2.0,0.9,[0.43643578 0.87287156 0.21821789],0.02545942480600966
rýže s mexickým hovězím,200.0,12.0,24.0,6.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Kapary K-Classic,30.0,1.0,2.0,0.5,4.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Plantgurt Blueberry Alpro,70.0,4.0,8.0,2.0,1.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Psyllium originálne indické psyllium sterilizované parou Asp,201.0,2.0,4.0,1.0,87.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Fit & Easy party mix,15.0,1.0,2.0,0.5,2.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
kedlubnové zelí,74.0,4.0,8.0,2.0,4.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Jihočeský jogurt ananasový Agro-la,96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Žampiony hlavičky v sladkokyselém nálevu Bahak,43.0,2.0,4.0,1.0,0.5,[0.43643578 0.87287156 0.21821789],0.02545942480600966
"Smažené čínské nudle (kuřecí maso, zelenina, vajíčko)",179.0,10.0,20.0,5.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Paťa termizovaná smetanovo tvarohová pěna,198.0,10.0,20.0,5.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Starbucks soya latte medium,37.0,2.0,4.0,1.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
"Zapečené celozrnné těstoviny s brokolicí, kuřecím masem, smetanou a sýrem",139.0,8.0,16.0,4.0,2.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
krůtí se špenátovou omáčkou špecle,132.0,8.0,16.0,4.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
dietni svíčková omáčka s jogurtem,38.0,2.0,4.0,1.0,2.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Soya Vanille Alpro,67.0,4.0,8.0,2.0,0.9,[0.43643578 0.87287156 0.21821789],0.02545942480600966
"Špenát s vejcem, brambory zdravé stravování s.r.o.",71.0,4.0,8.0,2.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
cizrna ve Slaném nálevu Ellebi,108.0,6.0,12.0,3.0,7.0,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Zde žije jogurt z jižních Čech švestka Agro-la,96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
Fazolová polévka s uzeninou Jospo,69.0,4.0,8.0,2.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
"Jihočeský jogurt tradiční jahoda 2,5% Madeta",96.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
palačinka fitnessguru slaná,114.0,6.0,12.0,3.0,,[0.43643578 0.87287156 0.21821789],0.02545942480600966
